data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/05/2025,2020,8,Region 4,Methamphetamine,12 month-ending,08/31/2020,"4,392",
01/05/2025,2020,9,Region 4,Methamphetamine,12 month-ending,09/30/2020,"4,502",
01/05/2025,2020,10,Region 4,Methamphetamine,12 month-ending,10/31/2020,"4,569",
01/05/2025,2020,11,Region 4,Methamphetamine,12 month-ending,11/30/2020,"4,733",
01/05/2025,2020,12,Region 4,Methamphetamine,12 month-ending,12/31/2020,"4,921",
01/05/2025,2021,1,Region 4,Methamphetamine,12 month-ending,01/31/2021,"5,215",
01/05/2025,2021,2,Region 4,Methamphetamine,12 month-ending,02/28/2021,"5,455",
01/05/2025,2021,3,Region 4,Methamphetamine,12 month-ending,03/31/2021,"5,683",
01/05/2025,2021,4,Region 4,Methamphetamine,12 month-ending,04/30/2021,"5,949",
01/05/2025,2021,5,Region 4,Methamphetamine,12 month-ending,05/31/2021,"6,134",
01/05/2025,2021,6,Region 4,Methamphetamine,12 month-ending,06/30/2021,"6,403",
01/05/2025,2021,7,Region 4,Methamphetamine,12 month-ending,07/31/2021,"6,638",
01/05/2025,2021,8,Region 4,Methamphetamine,12 month-ending,08/31/2021,"6,788",
01/05/2025,2021,9,Region 4,Methamphetamine,12 month-ending,09/30/2021,"7,084",
01/05/2025,2021,10,Region 4,Methamphetamine,12 month-ending,10/31/2021,"7,422",
01/05/2025,2021,11,Region 4,Methamphetamine,12 month-ending,11/30/2021,"7,592",
01/05/2025,2021,12,Region 4,Methamphetamine,12 month-ending,12/31/2021,"7,811",
01/05/2025,2022,1,Region 4,Methamphetamine,12 month-ending,01/31/2022,"7,882",
01/05/2025,2022,2,Region 4,Methamphetamine,12 month-ending,02/28/2022,"8,025",
01/05/2025,2022,3,Region 4,Methamphetamine,12 month-ending,03/31/2022,"8,118",
01/05/2025,2022,4,Region 4,Methamphetamine,12 month-ending,04/30/2022,"8,032",
01/05/2025,2022,5,Region 4,Methamphetamine,12 month-ending,05/31/2022,"8,066",
01/05/2025,2022,6,Region 4,Methamphetamine,12 month-ending,06/30/2022,"8,080",
01/05/2025,2022,7,Region 4,Methamphetamine,12 month-ending,07/31/2022,"8,146",
01/05/2025,2022,8,Region 4,Methamphetamine,12 month-ending,08/31/2022,"8,217",
01/05/2025,2022,9,Region 4,Methamphetamine,12 month-ending,09/30/2022,"8,193",
01/05/2025,2022,10,Region 4,Methamphetamine,12 month-ending,10/31/2022,"8,227",
01/05/2025,2022,11,Region 4,Methamphetamine,12 month-ending,11/30/2022,"8,266",
01/05/2025,2022,12,Region 4,Methamphetamine,12 month-ending,12/31/2022,"8,324",
01/05/2025,2023,1,Region 4,Methamphetamine,12 month-ending,01/31/2023,"8,355",
01/05/2025,2023,2,Region 4,Methamphetamine,12 month-ending,02/28/2023,"8,381",
01/05/2025,2023,3,Region 4,Methamphetamine,12 month-ending,03/31/2023,"8,436",
01/05/2025,2023,4,Region 4,Methamphetamine,12 month-ending,04/30/2023,"8,525",
01/05/2025,2023,5,Region 4,Methamphetamine,12 month-ending,05/31/2023,"8,551",
01/05/2025,2023,6,Region 4,Methamphetamine,12 month-ending,06/30/2023,"8,568",
01/05/2025,2023,7,Region 4,Methamphetamine,12 month-ending,07/31/2023,"8,543",
01/05/2025,2023,8,Region 4,Methamphetamine,12 month-ending,08/31/2023,"8,540",
01/05/2025,2023,9,Region 4,Methamphetamine,12 month-ending,09/30/2023,"8,491",
01/05/2025,2023,10,Region 4,Methamphetamine,12 month-ending,10/31/2023,"8,354",
01/05/2025,2023,11,Region 4,Methamphetamine,12 month-ending,11/30/2023,"8,225",
01/05/2025,2023,12,Region 4,Methamphetamine,12 month-ending,12/31/2023,"8,061",
01/05/2025,2024,1,Region 4,Methamphetamine,12 month-ending,01/31/2024,"7,927",
01/05/2025,2024,2,Region 4,Methamphetamine,12 month-ending,02/29/2024,"7,705",
01/05/2025,2024,3,Region 4,Methamphetamine,12 month-ending,03/31/2024,"7,413",
01/05/2025,2024,4,Region 4,Methamphetamine,12 month-ending,04/30/2024,"7,147",
01/05/2025,2024,5,Region 4,Methamphetamine,12 month-ending,05/31/2024,"6,907",
01/05/2025,2024,6,Region 4,Methamphetamine,12 month-ending,06/30/2024,"6,607",
01/05/2025,2019,1,Region 5,Methamphetamine,12 month-ending,01/31/2019,"1,532",
01/05/2025,2019,2,Region 5,Methamphetamine,12 month-ending,02/28/2019,"1,501",
01/05/2025,2019,3,Region 5,Methamphetamine,12 month-ending,03/31/2019,"1,583",
01/05/2025,2019,4,Region 5,Methamphetamine,12 month-ending,04/30/2019,"1,624",
01/05/2025,2019,5,Region 5,Methamphetamine,12 month-ending,05/31/2019,"1,670",
01/05/2025,2019,6,Region 5,Methamphetamine,12 month-ending,06/30/2019,"1,719",
01/05/2025,2019,7,Region 5,Methamphetamine,12 month-ending,07/31/2019,"1,742",
01/05/2025,2019,8,Region 5,Methamphetamine,12 month-ending,08/31/2019,"1,792",
01/05/2025,2019,9,Region 5,Methamphetamine,12 month-ending,09/30/2019,"1,852",
01/05/2025,2019,10,Region 5,Methamphetamine,12 month-ending,10/31/2019,"1,905",
01/05/2025,2019,11,Region 5,Methamphetamine,12 month-ending,11/30/2019,"1,950",
01/05/2025,2019,12,Region 5,Methamphetamine,12 month-ending,12/31/2019,"1,997",
01/05/2025,2020,1,Region 5,Methamphetamine,12 month-ending,01/31/2020,"2,030",
01/05/2025,2020,2,Region 5,Methamphetamine,12 month-ending,02/29/2020,"2,140",
01/05/2025,2020,3,Region 5,Methamphetamine,12 month-ending,03/31/2020,"2,187",
01/05/2025,2020,4,Region 5,Methamphetamine,12 month-ending,04/30/2020,"2,283",
01/05/2025,2020,5,Region 5,Methamphetamine,12 month-ending,05/31/2020,"2,418",
01/05/2025,2020,6,Region 5,Methamphetamine,12 month-ending,06/30/2020,"2,502",
01/05/2025,2020,7,Region 5,Methamphetamine,12 month-ending,07/31/2020,"2,592",
01/05/2025,2020,8,Region 5,Methamphetamine,12 month-ending,08/31/2020,"2,672",
01/05/2025,2020,9,Region 5,Methamphetamine,12 month-ending,09/30/2020,"2,707",
01/05/2025,2020,10,Region 5,Methamphetamine,12 month-ending,10/31/2020,"2,737",
01/05/2025,2020,11,Region 5,Methamphetamine,12 month-ending,11/30/2020,"2,810",
01/05/2025,2020,12,Region 5,Methamphetamine,12 month-ending,12/31/2020,"2,893",
01/05/2025,2021,1,Region 5,Methamphetamine,12 month-ending,01/31/2021,"2,997",
01/05/2025,2021,2,Region 5,Methamphetamine,12 month-ending,02/28/2021,"3,056",
01/05/2025,2021,3,Region 5,Methamphetamine,12 month-ending,03/31/2021,"3,161",
01/05/2025,2021,4,Region 5,Methamphetamine,12 month-ending,04/30/2021,"3,296",
01/05/2025,2021,5,Region 5,Methamphetamine,12 month-ending,05/31/2021,"3,334",
01/05/2025,2021,6,Region 5,Methamphetamine,12 month-ending,06/30/2021,"3,401",
01/05/2025,2021,7,Region 5,Methamphetamine,12 month-ending,07/31/2021,"3,498",
01/05/2025,2021,8,Region 5,Methamphetamine,12 month-ending,08/31/2021,"3,587",
01/05/2025,2021,9,Region 5,Methamphetamine,12 month-ending,09/30/2021,"3,691",
01/05/2025,2021,10,Region 5,Methamphetamine,12 month-ending,10/31/2021,"3,772",
01/05/2025,2021,11,Region 5,Methamphetamine,12 month-ending,11/30/2021,"3,871",
01/05/2025,2021,12,Region 5,Methamphetamine,12 month-ending,12/31/2021,"3,913",
01/05/2025,2022,1,Region 5,Methamphetamine,12 month-ending,01/31/2022,"3,956",
01/05/2025,2022,2,Region 5,Methamphetamine,12 month-ending,02/28/2022,"4,034",
01/05/2025,2022,3,Region 5,Methamphetamine,12 month-ending,03/31/2022,"4,070",
01/05/2025,2022,4,Region 5,Methamphetamine,12 month-ending,04/30/2022,"4,000",
01/05/2025,2022,5,Region 5,Methamphetamine,12 month-ending,05/31/2022,"3,984",
01/05/2025,2022,6,Region 5,Methamphetamine,12 month-ending,06/30/2022,"3,992",
01/05/2025,2022,7,Region 5,Methamphetamine,12 month-ending,07/31/2022,"3,991",
01/05/2025,2022,8,Region 5,Methamphetamine,12 month-ending,08/31/2022,"3,964",
01/05/2025,2022,9,Region 5,Methamphetamine,12 month-ending,09/30/2022,"3,916",
01/05/2025,2022,10,Region 5,Methamphetamine,12 month-ending,10/31/2022,"3,972",
01/05/2025,2022,11,Region 5,Methamphetamine,12 month-ending,11/30/2022,"3,948",
01/05/2025,2022,12,Region 5,Methamphetamine,12 month-ending,12/31/2022,"4,010",
01/05/2025,2023,1,Region 5,Methamphetamine,12 month-ending,01/31/2023,"4,020",
01/05/2025,2023,2,Region 5,Methamphetamine,12 month-ending,02/28/2023,"4,008",
01/05/2025,2023,3,Region 5,Methamphetamine,12 month-ending,03/31/2023,"3,968",
01/05/2025,2023,4,Region 5,Methamphetamine,12 month-ending,04/30/2023,"4,010",
01/05/2025,2023,5,Region 5,Methamphetamine,12 month-ending,05/31/2023,"4,025",
01/05/2025,2023,6,Region 5,Methamphetamine,12 month-ending,06/30/2023,"4,064",
01/05/2025,2023,7,Region 5,Methamphetamine,12 month-ending,07/31/2023,"4,037",
01/05/2025,2023,8,Region 5,Methamphetamine,12 month-ending,08/31/2023,"4,044",
01/05/2025,2023,9,Region 5,Methamphetamine,12 month-ending,09/30/2023,"4,027",
01/05/2025,2023,10,Region 5,Methamphetamine,12 month-ending,10/31/2023,"3,931",
01/05/2025,2023,11,Region 5,Methamphetamine,12 month-ending,11/30/2023,"3,891",
01/05/2025,2023,12,Region 5,Methamphetamine,12 month-ending,12/31/2023,"3,785",
01/05/2025,2024,1,Region 5,Methamphetamine,12 month-ending,01/31/2024,"3,678",
01/05/2025,2024,2,Region 5,Methamphetamine,12 month-ending,02/29/2024,"3,584",
01/05/2025,2024,3,Region 5,Methamphetamine,12 month-ending,03/31/2024,"3,500",
01/05/2025,2024,4,Region 5,Methamphetamine,12 month-ending,04/30/2024,"3,378",
01/05/2025,2024,5,Region 5,Methamphetamine,12 month-ending,05/31/2024,"3,291",
01/05/2025,2024,6,Region 5,Methamphetamine,12 month-ending,06/30/2024,"3,129",
01/05/2025,2019,1,Region 6,Methamphetamine,12 month-ending,01/31/2019,"1,533",
01/05/2025,2019,2,Region 6,Methamphetamine,12 month-ending,02/28/2019,"1,535",
01/05/2025,2019,3,Region 6,Methamphetamine,12 month-ending,03/31/2019,"1,572",
01/05/2025,2019,4,Region 6,Methamphetamine,12 month-ending,04/30/2019,"1,621",
01/05/2025,2019,5,Region 6,Methamphetamine,12 month-ending,05/31/2019,"1,637",
01/05/2025,2019,6,Region 6,Methamphetamine,12 month-ending,06/30/2019,"1,646",
01/05/2025,2019,7,Region 6,Methamphetamine,12 month-ending,07/31/2019,"1,670",
01/05/2025,2019,8,Region 6,Methamphetamine,12 month-ending,08/31/2019,"1,734",
01/05/2025,2019,9,Region 6,Methamphetamine,12 month-ending,09/30/2019,"1,774",
01/05/2025,2019,10,Region 6,Methamphetamine,12 month-ending,10/31/2019,"1,802",
01/05/2025,2019,11,Region 6,Methamphetamine,12 month-ending,11/30/2019,"1,870",
01/05/2025,2019,12,Region 6,Methamphetamine,12 month-ending,12/31/2019,"1,940",
01/05/2025,2020,1,Region 6,Methamphetamine,12 month-ending,01/31/2020,"2,022",
01/05/2025,2020,2,Region 6,Methamphetamine,12 month-ending,02/29/2020,"2,093",
01/05/2025,2020,3,Region 6,Methamphetamine,12 month-ending,03/31/2020,"2,141",
01/05/2025,2020,4,Region 6,Methamphetamine,12 month-ending,04/30/2020,"2,224",
01/05/2025,2020,5,Region 6,Methamphetamine,12 month-ending,05/31/2020,"2,300",
01/05/2025,2020,6,Region 6,Methamphetamine,12 month-ending,06/30/2020,"2,362",
01/05/2025,2020,7,Region 6,Methamphetamine,12 month-ending,07/31/2020,"2,468",
01/05/2025,2020,8,Region 6,Methamphetamine,12 month-ending,08/31/2020,"2,553",
01/05/2025,2020,9,Region 6,Methamphetamine,12 month-ending,09/30/2020,"2,605",
01/05/2025,2020,10,Region 6,Methamphetamine,12 month-ending,10/31/2020,"2,656",
01/05/2025,2020,11,Region 6,Methamphetamine,12 month-ending,11/30/2020,"2,702",
01/05/2025,2020,12,Region 6,Methamphetamine,12 month-ending,12/31/2020,"2,765",
01/05/2025,2021,1,Region 6,Methamphetamine,12 month-ending,01/31/2021,"2,848",
01/05/2025,2021,2,Region 6,Methamphetamine,12 month-ending,02/28/2021,"2,928",
01/05/2025,2021,3,Region 6,Methamphetamine,12 month-ending,03/31/2021,"3,059",
01/05/2025,2021,4,Region 6,Methamphetamine,12 month-ending,04/30/2021,"3,147",
01/05/2025,2021,5,Region 6,Methamphetamine,12 month-ending,05/31/2021,"3,214",
01/05/2025,2021,6,Region 6,Methamphetamine,12 month-ending,06/30/2021,"3,300",
01/05/2025,2021,7,Region 6,Methamphetamine,12 month-ending,07/31/2021,"3,367",
01/05/2025,2021,8,Region 6,Methamphetamine,12 month-ending,08/31/2021,"3,451",
01/05/2025,2021,9,Region 6,Methamphetamine,12 month-ending,09/30/2021,"3,544",
01/05/2025,2021,10,Region 6,Methamphetamine,12 month-ending,10/31/2021,"3,607",
01/05/2025,2021,11,Region 6,Methamphetamine,12 month-ending,11/30/2021,"3,675",
01/05/2025,2021,12,Region 6,Methamphetamine,12 month-ending,12/31/2021,"3,734",
01/05/2025,2022,1,Region 6,Methamphetamine,12 month-ending,01/31/2022,"3,791",
01/05/2025,2022,2,Region 6,Methamphetamine,12 month-ending,02/28/2022,"3,892",
01/05/2025,2022,3,Region 6,Methamphetamine,12 month-ending,03/31/2022,"3,922",
01/05/2025,2022,4,Region 6,Methamphetamine,12 month-ending,04/30/2022,"3,898",
01/05/2025,2022,5,Region 6,Methamphetamine,12 month-ending,05/31/2022,"3,940",
01/05/2025,2022,6,Region 6,Methamphetamine,12 month-ending,06/30/2022,"4,005",
01/05/2025,2022,7,Region 6,Methamphetamine,12 month-ending,07/31/2022,"4,059",
01/05/2025,2022,8,Region 6,Methamphetamine,12 month-ending,08/31/2022,"4,016",
01/05/2025,2022,9,Region 6,Methamphetamine,12 month-ending,09/30/2022,"4,025",
01/05/2025,2022,10,Region 6,Methamphetamine,12 month-ending,10/31/2022,"4,062",
01/05/2025,2022,11,Region 6,Methamphetamine,12 month-ending,11/30/2022,"4,083",
01/05/2025,2022,12,Region 6,Methamphetamine,12 month-ending,12/31/2022,"4,126",
01/05/2025,2023,1,Region 6,Methamphetamine,12 month-ending,01/31/2023,"4,119",
01/05/2025,2023,2,Region 6,Methamphetamine,12 month-ending,02/28/2023,"4,094",
01/05/2025,2023,3,Region 6,Methamphetamine,12 month-ending,03/31/2023,"4,071",
01/05/2025,2023,4,Region 6,Methamphetamine,12 month-ending,04/30/2023,"4,110",
01/05/2025,2023,5,Region 6,Methamphetamine,12 month-ending,05/31/2023,"4,145",
01/05/2025,2023,6,Region 6,Methamphetamine,12 month-ending,06/30/2023,"4,143",
01/05/2025,2023,7,Region 6,Methamphetamine,12 month-ending,07/31/2023,"4,152",
01/05/2025,2023,8,Region 6,Methamphetamine,12 month-ending,08/31/2023,"4,292",
01/05/2025,2023,9,Region 6,Methamphetamine,12 month-ending,09/30/2023,"4,283",
01/05/2025,2023,10,Region 6,Methamphetamine,12 month-ending,10/31/2023,"4,249",
01/05/2025,2023,11,Region 6,Methamphetamine,12 month-ending,11/30/2023,"4,234",
01/05/2025,2023,12,Region 6,Methamphetamine,12 month-ending,12/31/2023,"4,207",
01/05/2025,2024,1,Region 6,Methamphetamine,12 month-ending,01/31/2024,"4,200",
01/05/2025,2024,2,Region 6,Methamphetamine,12 month-ending,02/29/2024,"4,174",
01/05/2025,2024,3,Region 6,Methamphetamine,12 month-ending,03/31/2024,"4,124",
01/05/2025,2024,4,Region 6,Methamphetamine,12 month-ending,04/30/2024,"4,076",
01/05/2025,2024,5,Region 6,Methamphetamine,12 month-ending,05/31/2024,"3,999",
01/05/2025,2024,6,Region 6,Methamphetamine,12 month-ending,06/30/2024,"3,920",
01/05/2025,2019,1,Region 7,Methamphetamine,12 month-ending,01/31/2019,588,
01/05/2025,2019,2,Region 7,Methamphetamine,12 month-ending,02/28/2019,623,
01/05/2025,2019,3,Region 7,Methamphetamine,12 month-ending,03/31/2019,635,
01/05/2025,2019,4,Region 7,Methamphetamine,12 month-ending,04/30/2019,651,
01/05/2025,2019,5,Region 7,Methamphetamine,12 month-ending,05/31/2019,657,
01/05/2025,2019,6,Region 7,Methamphetamine,12 month-ending,06/30/2019,648,
01/05/2025,2019,7,Region 7,Methamphetamine,12 month-ending,07/31/2019,682,
01/05/2025,2019,8,Region 7,Methamphetamine,12 month-ending,08/31/2019,707,
01/05/2025,2019,9,Region 7,Methamphetamine,12 month-ending,09/30/2019,753,
01/05/2025,2019,10,Region 7,Methamphetamine,12 month-ending,10/31/2019,766,
01/05/2025,2019,11,Region 7,Methamphetamine,12 month-ending,11/30/2019,779,
01/05/2025,2019,12,Region 7,Methamphetamine,12 month-ending,12/31/2019,804,
01/05/2025,2020,1,Region 7,Methamphetamine,12 month-ending,01/31/2020,815,
01/05/2025,2020,2,Region 7,Methamphetamine,12 month-ending,02/29/2020,824,
01/05/2025,2020,3,Region 7,Methamphetamine,12 month-ending,03/31/2020,839,
01/05/2025,2020,4,Region 7,Methamphetamine,12 month-ending,04/30/2020,879,
01/05/2025,2020,5,Region 7,Methamphetamine,12 month-ending,05/31/2020,925,
01/05/2025,2020,6,Region 7,Methamphetamine,12 month-ending,06/30/2020,953,
01/05/2025,2020,7,Region 7,Methamphetamine,12 month-ending,07/31/2020,952,
01/05/2025,2020,8,Region 7,Methamphetamine,12 month-ending,08/31/2020,981,
01/05/2025,2020,9,Region 7,Methamphetamine,12 month-ending,09/30/2020,976,
01/05/2025,2020,10,Region 7,Methamphetamine,12 month-ending,10/31/2020,"1,002",
01/05/2025,2020,11,Region 7,Methamphetamine,12 month-ending,11/30/2020,"1,013",
01/05/2025,2020,12,Region 7,Methamphetamine,12 month-ending,12/31/2020,"1,022",
01/05/2025,2021,1,Region 7,Methamphetamine,12 month-ending,01/31/2021,"1,028",
01/05/2025,2021,2,Region 7,Methamphetamine,12 month-ending,02/28/2021,"1,037",
01/05/2025,2021,3,Region 7,Methamphetamine,12 month-ending,03/31/2021,"1,080",
01/05/2025,2021,4,Region 7,Methamphetamine,12 month-ending,04/30/2021,"1,091",
01/05/2025,2021,5,Region 7,Methamphetamine,12 month-ending,05/31/2021,"1,122",
01/05/2025,2021,6,Region 7,Methamphetamine,12 month-ending,06/30/2021,"1,156",
01/05/2025,2021,7,Region 7,Methamphetamine,12 month-ending,07/31/2021,"1,190",
01/05/2025,2021,8,Region 7,Methamphetamine,12 month-ending,08/31/2021,"1,218",
01/05/2025,2021,9,Region 7,Methamphetamine,12 month-ending,09/30/2021,"1,248",
01/05/2025,2021,10,Region 7,Methamphetamine,12 month-ending,10/31/2021,"1,255",
01/05/2025,2021,11,Region 7,Methamphetamine,12 month-ending,11/30/2021,"1,269",
01/05/2025,2021,12,Region 7,Methamphetamine,12 month-ending,12/31/2021,"1,301",
01/05/2025,2022,1,Region 7,Methamphetamine,12 month-ending,01/31/2022,"1,334",
01/05/2025,2022,2,Region 7,Methamphetamine,12 month-ending,02/28/2022,"1,350",
01/05/2025,2022,3,Region 7,Methamphetamine,12 month-ending,03/31/2022,"1,355",
01/05/2025,2022,4,Region 7,Methamphetamine,12 month-ending,04/30/2022,"1,358",
01/05/2025,2022,5,Region 7,Methamphetamine,12 month-ending,05/31/2022,"1,339",
01/05/2025,2022,6,Region 7,Methamphetamine,12 month-ending,06/30/2022,"1,347",
01/05/2025,2022,7,Region 7,Methamphetamine,12 month-ending,07/31/2022,"1,353",
01/05/2025,2022,8,Region 7,Methamphetamine,12 month-ending,08/31/2022,"1,337",
01/05/2025,2022,9,Region 7,Methamphetamine,12 month-ending,09/30/2022,"1,341",
01/05/2025,2022,10,Region 7,Methamphetamine,12 month-ending,10/31/2022,"1,364",
01/05/2025,2022,11,Region 7,Methamphetamine,12 month-ending,11/30/2022,"1,387",
01/05/2025,2022,12,Region 7,Methamphetamine,12 month-ending,12/31/2022,"1,398",
01/05/2025,2023,1,Region 7,Methamphetamine,12 month-ending,01/31/2023,"1,399",
01/05/2025,2023,2,Region 7,Methamphetamine,12 month-ending,02/28/2023,"1,393",
01/05/2025,2023,3,Region 7,Methamphetamine,12 month-ending,03/31/2023,"1,386",
01/05/2025,2023,4,Region 7,Methamphetamine,12 month-ending,04/30/2023,"1,375",
01/05/2025,2023,5,Region 7,Methamphetamine,12 month-ending,05/31/2023,"1,380",
01/05/2025,2023,6,Region 7,Methamphetamine,12 month-ending,06/30/2023,"1,359",
01/05/2025,2023,7,Region 7,Methamphetamine,12 month-ending,07/31/2023,"1,358",
01/05/2025,2023,8,Region 7,Methamphetamine,12 month-ending,08/31/2023,"1,357",
01/05/2025,2023,9,Region 7,Methamphetamine,12 month-ending,09/30/2023,"1,351",
01/05/2025,2023,10,Region 7,Methamphetamine,12 month-ending,10/31/2023,"1,351",
01/05/2025,2023,11,Region 7,Methamphetamine,12 month-ending,11/30/2023,"1,330",
01/05/2025,2023,12,Region 7,Methamphetamine,12 month-ending,12/31/2023,"1,295",
01/05/2025,2024,1,Region 7,Methamphetamine,12 month-ending,01/31/2024,"1,273",
01/05/2025,2024,2,Region 7,Methamphetamine,12 month-ending,02/29/2024,"1,283",
01/05/2025,2024,3,Region 7,Methamphetamine,12 month-ending,03/31/2024,"1,265",
01/05/2025,2024,4,Region 7,Methamphetamine,12 month-ending,04/30/2024,"1,254",
01/05/2025,2024,5,Region 7,Methamphetamine,12 month-ending,05/31/2024,"1,226",
01/05/2025,2024,6,Region 7,Methamphetamine,12 month-ending,06/30/2024,"1,225",
01/05/2025,2019,1,Region 8,Methamphetamine,12 month-ending,01/31/2019,616,
01/05/2025,2019,2,Region 8,Methamphetamine,12 month-ending,02/28/2019,630,
01/05/2025,2019,3,Region 8,Methamphetamine,12 month-ending,03/31/2019,643,
01/05/2025,2019,4,Region 8,Methamphetamine,12 month-ending,04/30/2019,645,
01/05/2025,2019,5,Region 8,Methamphetamine,12 month-ending,05/31/2019,649,
01/05/2025,2019,6,Region 8,Methamphetamine,12 month-ending,06/30/2019,659,
01/05/2025,2019,7,Region 8,Methamphetamine,12 month-ending,07/31/2019,666,
01/05/2025,2019,8,Region 8,Methamphetamine,12 month-ending,08/31/2019,664,
01/05/2025,2019,9,Region 8,Methamphetamine,12 month-ending,09/30/2019,666,
01/05/2025,2019,10,Region 8,Methamphetamine,12 month-ending,10/31/2019,678,
01/05/2025,2019,11,Region 8,Methamphetamine,12 month-ending,11/30/2019,690,
01/05/2025,2019,12,Region 8,Methamphetamine,12 month-ending,12/31/2019,702,
01/05/2025,2020,1,Region 8,Methamphetamine,12 month-ending,01/31/2020,712,
01/05/2025,2020,2,Region 8,Methamphetamine,12 month-ending,02/29/2020,706,
01/05/2025,2020,3,Region 8,Methamphetamine,12 month-ending,03/31/2020,725,
01/05/2025,2020,4,Region 8,Methamphetamine,12 month-ending,04/30/2020,761,
01/05/2025,2020,5,Region 8,Methamphetamine,12 month-ending,05/31/2020,795,
01/05/2025,2020,6,Region 8,Methamphetamine,12 month-ending,06/30/2020,792,
01/05/2025,2020,7,Region 8,Methamphetamine,12 month-ending,07/31/2020,803,
01/05/2025,2020,8,Region 8,Methamphetamine,12 month-ending,08/31/2020,842,
01/05/2025,2020,9,Region 8,Methamphetamine,12 month-ending,09/30/2020,863,
01/05/2025,2020,10,Region 8,Methamphetamine,12 month-ending,10/31/2020,868,
01/05/2025,2020,11,Region 8,Methamphetamine,12 month-ending,11/30/2020,878,
01/05/2025,2020,12,Region 8,Methamphetamine,12 month-ending,12/31/2020,879,
01/05/2025,2021,1,Region 8,Methamphetamine,12 month-ending,01/31/2021,927,
01/05/2025,2021,2,Region 8,Methamphetamine,12 month-ending,02/28/2021,960,
01/05/2025,2021,3,Region 8,Methamphetamine,12 month-ending,03/31/2021,987,
01/05/2025,2021,4,Region 8,Methamphetamine,12 month-ending,04/30/2021,998,
01/05/2025,2021,5,Region 8,Methamphetamine,12 month-ending,05/31/2021,"1,024",
01/05/2025,2021,6,Region 8,Methamphetamine,12 month-ending,06/30/2021,"1,082",
01/05/2025,2021,7,Region 8,Methamphetamine,12 month-ending,07/31/2021,"1,123",
01/05/2025,2021,8,Region 8,Methamphetamine,12 month-ending,08/31/2021,"1,143",
01/05/2025,2021,9,Region 8,Methamphetamine,12 month-ending,09/30/2021,"1,177",
01/05/2025,2021,10,Region 8,Methamphetamine,12 month-ending,10/31/2021,"1,204",
01/05/2025,2021,11,Region 8,Methamphetamine,12 month-ending,11/30/2021,"1,219",
01/05/2025,2021,12,Region 8,Methamphetamine,12 month-ending,12/31/2021,"1,251",
01/05/2025,2022,1,Region 8,Methamphetamine,12 month-ending,01/31/2022,"1,256",
01/05/2025,2022,2,Region 8,Methamphetamine,12 month-ending,02/28/2022,"1,254",
01/05/2025,2022,3,Region 8,Methamphetamine,12 month-ending,03/31/2022,"1,265",
01/05/2025,2022,4,Region 8,Methamphetamine,12 month-ending,04/30/2022,"1,233",
01/05/2025,2022,5,Region 8,Methamphetamine,12 month-ending,05/31/2022,"1,217",
01/05/2025,2022,6,Region 8,Methamphetamine,12 month-ending,06/30/2022,"1,186",
01/05/2025,2022,7,Region 8,Methamphetamine,12 month-ending,07/31/2022,"1,167",
01/05/2025,2022,8,Region 8,Methamphetamine,12 month-ending,08/31/2022,"1,146",
01/05/2025,2022,9,Region 8,Methamphetamine,12 month-ending,09/30/2022,"1,139",
01/05/2025,2022,10,Region 8,Methamphetamine,12 month-ending,10/31/2022,"1,133",
01/05/2025,2022,11,Region 8,Methamphetamine,12 month-ending,11/30/2022,"1,170",
01/05/2025,2022,12,Region 8,Methamphetamine,12 month-ending,12/31/2022,"1,193",
01/05/2025,2023,1,Region 8,Methamphetamine,12 month-ending,01/31/2023,"1,197",
01/05/2025,2023,2,Region 8,Methamphetamine,12 month-ending,02/28/2023,"1,217",
01/05/2025,2023,3,Region 8,Methamphetamine,12 month-ending,03/31/2023,"1,202",
01/05/2025,2023,4,Region 8,Methamphetamine,12 month-ending,04/30/2023,"1,254",
01/05/2025,2023,5,Region 8,Methamphetamine,12 month-ending,05/31/2023,"1,269",
01/05/2025,2023,6,Region 8,Methamphetamine,12 month-ending,06/30/2023,"1,292",
01/05/2025,2023,7,Region 8,Methamphetamine,12 month-ending,07/31/2023,"1,304",
01/05/2025,2023,8,Region 8,Methamphetamine,12 month-ending,08/31/2023,"1,320",
01/05/2025,2023,9,Region 8,Methamphetamine,12 month-ending,09/30/2023,"1,317",
01/05/2025,2023,10,Region 8,Methamphetamine,12 month-ending,10/31/2023,"1,345",
01/05/2025,2023,11,Region 8,Methamphetamine,12 month-ending,11/30/2023,"1,355",
01/05/2025,2023,12,Region 8,Methamphetamine,12 month-ending,12/31/2023,"1,311",
01/05/2025,2024,1,Region 8,Methamphetamine,12 month-ending,01/31/2024,"1,313",
01/05/2025,2024,2,Region 8,Methamphetamine,12 month-ending,02/29/2024,"1,319",
01/05/2025,2024,3,Region 8,Methamphetamine,12 month-ending,03/31/2024,"1,341",
01/05/2025,2024,4,Region 8,Methamphetamine,12 month-ending,04/30/2024,"1,341",
01/05/2025,2024,5,Region 8,Methamphetamine,12 month-ending,05/31/2024,"1,342",
01/05/2025,2024,6,Region 8,Methamphetamine,12 month-ending,06/30/2024,"1,356",
01/05/2025,2019,1,Region 9,Methamphetamine,12 month-ending,01/31/2019,"3,540",
01/05/2025,2019,2,Region 9,Methamphetamine,12 month-ending,02/28/2019,"3,601",
